datetime,date,time,open,high,low,close,tickvol,vol,spread,bb_middle,bb_upper,bb_lower,bb_bandwidth,bb_position,kc_middle,kc_upper,kc_lower,kc_position,kc_width
2024-01-26 12:30:00,2024.01.26,12:30:00,2022.6,2023.07,2020.87,2022.79,5352,0,16,2021.2670000000003,2023.4113423235117,2019.1226576764889,0.0021217803719265284,0.8551205381950714,2021.2952660707315,2023.9367660707314,2018.6537660707315,0.7829327899429311,0.2613670594632973
2024-01-26 12:45:00,2024.01.26,12:45:00,2022.79,2023.9,2022.68,2023.33,4041,0,16,2021.288,2023.5033428629451,2019.0726571370549,0.002192011096830472,0.960876741509264,2021.4865105719316,2024.0935105719316,2018.8795105719316,0.8535652911523484,0.2579290028764409
2024-01-26 13:00:00,2024.01.26,13:00:00,2023.35,2024.4,2022.38,2023.25,4347,0,16,2021.3600000000001,2023.7269389515577,2018.9930610484425,0.0023419271693885164,0.8992498409720582,2021.6633508349223,2024.3123508349224,2019.0143508349222,0.7994807786103472,0.26206143559026385
2024-01-26 13:15:00,2024.01.26,13:15:00,2023.24,2024.07,2022.66,2023.62,4125,0,16,2021.4129999999998,2023.9278924431073,2018.8981075568922,0.0024882519733548324,0.9387861608254313,2021.833507898263,2024.494507898263,2019.172507898263,0.8356805903301204,0.26322642191900575
2024-01-26 13:30:00,2024.01.26,13:30:00,2023.61,2024.73,2022.54,2022.75,4173,0,16,2021.4684999999997,2024.0491144617897,2018.8878855382097,0.0025532076921208438,0.7482935787144647,2021.9769833365237,2024.5509833365238,2019.4029833365237,0.6501586370388956,0.25460230469613315
2024-01-26 13:45:00,2024.01.26,13:45:00,2022.75,2023.58,2022.27,2023.3,3021,0,16,2021.5565000000001,2024.2580645467763,2018.854935453224,0.0026727569046683837,0.8226833876837023,2022.079175399712,2024.606675399712,2019.5516753997122,0.7415083284446903,0.2499902111400062
2024-01-26 14:00:00,2024.01.26,14:00:00,2023.27,2024.5,2023.2,2023.48,4179,0,16,2021.7129999999997,2024.4787411304017,2018.9472588695978,0.002736037341009254,0.8194442134473189,2022.2360793298983,2024.7155793298982,2019.7565793298984,0.7508410304702072,0.24522359435121344
2024-01-26 14:15:00,2024.01.26,14:15:00,2023.48,2024.0,2021.64,2022.23,3815,0,16,2021.7365000000002,2024.5114109896351,2018.9615890103653,0.002745076808609745,0.5889217711564759,2022.272960663559,2024.7749606635589,2019.770960663559,0.49141473549981696,0.2474443409636435
2024-01-26 14:30:00,2024.01.26,14:30:00,2022.23,2022.3,2020.02,2020.93,4095,0,16,2021.7565,2024.5019491436549,2019.011050856345,0.0027159048517018973,0.3494781806630727,2022.159662822585,2024.793662822585,2019.525662822585,0.266578811202556,0.26051355374415947
2024-01-26 14:45:00,2024.01.26,14:45:00,2020.94,2021.96,2020.58,2021.31,4536,0,16,2021.7549999999999,2024.5013903583422,2019.0086096416576,0.0027168379535030666,0.4189845684812745,2022.0762028712277,2024.7267028712276,2019.4257028712277,0.3554606920905974,0.26215629225411125
2024-01-26 15:00:00,2024.01.26,15:00:00,2021.3,2023.22,2021.22,2022.99,5689,0,16,2021.855,2024.628203923334,2019.081796076666,0.002743227306937436,0.7046369526687157,2022.114342280317,2024.734842280317,2019.493842280317,0.667078366663419,0.25918415642558396
2024-01-26 15:15:00,2024.01.26,15:15:00,2022.99,2024.29,2021.68,2022.09,6531,0,16,2021.878,2024.6509882798878,2019.105011720112,0.0027429827911356086,0.538225909849241,2022.1688493647312,2024.997849364731,2019.3398493647312,0.4860640924829901,0.27979859356340964
2024-01-26 15:30:00,2024.01.26,15:30:00,2022.11,2026.75,2018.6,2022.56,21387,0,16,2021.9664999999998,2024.7077426015207,2019.2252573984788,0.002711461937199237,0.6082538261427267,2022.213403393487,2025.9619033934869,2018.464903393487,0.5462313734177685,0.37073238597959485
2024-01-26 15:45:00,2024.01.26,15:45:00,2022.56,2026.31,2021.48,2024.55,14104,0,16,2022.1625,2025.0501279193122,2019.2748720806876,0.0028559800899406536,0.9134015992906439,2022.3943491020439,2026.655849102044,2018.1328491020438,0.7529216118685977,0.4214311617209772
2024-01-26 16:00:00,2024.01.26,16:00:00,2024.55,2026.18,2022.9,2023.16,10307,0,16,2022.4,2024.7442525462054,2020.0557474537948,0.0023182877236998865,0.662098576202938,2022.5548872828017,2026.9798872828017,2018.1298872828017,0.5683743183275014,0.43756538107548854
